state,action,reward,done,truncated,next_state
0,3,-0.01,False,False,1
1,3,-0.01,False,False,2
2,3,-0.01,False,False,3
3,1,-0.01,False,False,8
8,3,-0.01,False,False,9
9,3,-0.01,False,False,10
10,1,-0.01,False,False,15
15,1,-0.01,False,False,20
20,1,-0.01,False,False,25
25,3,1.0,True,False,5
5,3,-0.01,False,False,6
6,3,1.0,False,False,7
7,3,-0.26,False,False,8
8,3,-0.26,False,False,9
9,3,-0.26,False,False,10
10,1,-0.26,False,False,15
15,1,-0.26,False,False,20
20,1,-0.26,False,False,25
25,3,1.0,True,False,11
11,0,-0.01,False,False,5
5,3,-0.01,False,False,6
6,3,1.0,False,False,7
7,3,-0.26,False,False,8
8,3,-0.26,False,False,9
9,3,-0.26,False,False,10
10,1,-0.26,False,False,15
15,1,-0.26,False,False,20
20,1,-0.26,False,False,25
25,3,1.0,True,False,16
16,3,-0.01,False,False,17
17,0,-0.01,False,False,12
12,3,-0.01,False,False,13
13,0,1.0,False,False,7
7,3,-0.26,False,False,8
8,3,-0.26,False,False,9
9,3,-0.26,False,False,10
10,1,-0.26,False,False,15
15,1,-0.26,False,False,20
20,1,-0.26,False,False,25
25,3,1.0,True,False,21
21,0,-0.01,False,False,16
16,3,-0.01,False,False,17
17,0,-0.01,False,False,12
12,3,-0.01,False,False,13
13,0,1.0,False,False,7
7,3,-0.26,False,False,8
8,3,-0.26,False,False,9
9,3,-0.26,False,False,10
10,1,-0.26,False,False,15
15,1,-0.26,False,False,20
20,1,-0.26,False,False,25
25,3,1.0,True,False,0
