state,action,reward,done,truncated,next_state
2,1,-0.01,False,False,8
8,3,-0.01,False,False,9
9,3,-0.01,False,False,10
10,1,-0.01,False,False,16
16,1,-0.01,False,False,20
20,3,-0.01,False,False,21
21,1,-0.01,False,False,27
27,0,1.0,True,False,12
12,0,-0.01,False,False,6
6,3,-0.01,False,False,7
7,3,-0.01,False,False,8
8,3,-0.01,False,False,9
9,3,-0.01,False,False,10
10,1,-0.01,False,False,16
16,1,-0.01,False,False,20
20,3,-0.01,False,False,21
21,1,-0.01,False,False,27
27,0,1.0,True,False,23
23,2,-0.01,False,False,22
22,0,0.1,True,False,2
2,1,-0.01,False,False,8
8,3,-0.01,False,False,9
9,3,-0.01,False,False,10
10,1,-0.01,False,False,16
16,1,-0.01,False,False,20
20,3,-0.01,False,False,21
21,1,-0.01,False,False,27
27,0,1.0,True,False,12
