state,action,reward,done,truncated,next_state
0,3,-0.01,False,False,1
1,1,-0.01,False,False,7
7,3,-0.01,False,False,8
8,3,-0.01,False,False,9
9,3,-0.01,False,False,10
10,3,-0.01,False,False,11
11,1,-0.01,False,False,17
17,1,-0.01,False,False,23
23,1,-0.01,False,False,29
29,0,1.0,True,False,2
2,1,-0.01,False,False,8
8,3,-0.01,False,False,9
9,3,-0.01,False,False,10
10,3,-0.01,False,False,11
11,1,-0.01,False,False,17
17,1,-0.01,False,False,23
23,1,-0.01,False,False,29
29,0,1.0,True,False,24
24,0,-0.01,False,False,18
18,3,-0.01,False,False,19
19,3,-0.01,False,False,20
20,0,-0.01,False,False,14
14,0,-0.01,False,False,8
8,3,-0.01,False,False,9
9,3,-0.01,False,False,10
10,3,-0.01,False,False,11
11,1,-0.01,False,False,17
17,1,-0.01,False,False,23
23,1,-0.01,False,False,29
29,0,1.0,True,False,26
26,0,-0.01,False,False,20
20,0,-0.01,False,False,14
14,0,-0.01,False,False,8
8,3,-0.01,False,False,9
9,3,-0.01,False,False,10
10,3,-0.01,False,False,11
11,1,-0.01,False,False,17
17,1,-0.01,False,False,23
23,1,-0.01,False,False,29
29,0,1.0,True,False,0
