state,action,reward,done,truncated,next_state
5,2,-0.01,False,False,4
4,2,-0.01,False,False,3
3,2,-0.01,False,False,2
2,1,-0.01,False,False,7
7,1,-0.01,False,False,10
10,3,-0.01,False,False,11
11,3,-0.01,False,False,12
12,3,-0.01,False,False,13
13,1,-0.01,False,False,15
15,1,-0.01,False,False,21
21,3,1.0,True,False,14
14,1,-0.01,False,False,18
18,3,-0.01,False,False,19
19,3,-0.01,False,False,20
20,3,-0.01,False,False,21
21,3,1.0,True,False,17
17,3,-0.01,False,False,18
18,3,-0.01,False,False,19
19,3,-0.01,False,False,20
20,3,-0.01,False,False,21
21,3,1.0,True,False,0
